number,species,age,sex,wing,weight
132 , RT , I ,  , 277 , 940
133 , RT , I ,  , 423 , 1310
134 , RT , I ,  , 365 , 1035
135 , RT , I ,  , 383 , 965
136 , RT , I ,  , 391 , 1125
137 , RT , I ,  , 389 , 975
138 , RT , I ,  , 392 , 1140
139 , RT , I ,  , 375 , 950
140 , RT , I ,  , 410 , 1210
141 , SS , I , M , 179 , 95
142 , SS , I , M , 172 , 89
143 , SS , A , F , 202 , 195
144 , SS , I , M , 174 , 93
145 , RT , I ,  , 422 , 1205
146 , RT , I ,  , 385 , 1045
147 , RT , I ,  , 363 , 1090
148 , RT , I ,  , 450 , 1190
149 , RT , I ,  , 380 , 960
150 , RT , I ,  , 385 , 955
151 , RT , I ,  , 385 , 1110
152 , SS , I , M , 171 , 100
153 , RT , I ,  , 380 , 900
154 , RT , I ,  , 384 , 1075
155 , RT , I ,  , 373 , 980
156 , RT , I ,  , 381 , 940
157 , RT , I ,  , 363 , 1070
158 , RT , I ,  , 409 , 1120
159 , RT , A ,  , 390 , 1060
160 , SS , I , F , 204 , 168
161 , SS , I , F , 197 , 211
162 , RT , I ,  , 420 , 1125
163 , RT , I ,  , 381 , 1100
164 , RT , I ,  , 408 , 1360
165 , RT , I ,  , 388 , 995
166 , RT , A ,  , 398 , 1095
167 , SS , I , F , 209 , 196
168 , SS , I , F , 209 , 176
169 , RT , A ,  , 394 , 1075
170 , SS , A , F , 204 , 180
171 , SS , I , F , 204 , 164
172 , SS , I , F , 209 , 158
173 , RT , I ,  , 394 , 1140
174 , RT , I ,  , 416 , 1240
175 , RT , I ,  , 445 , 1465
176 , SS , I , F , 209 , 169
177 , RT , I ,  , 388 , 1105
178 , RT , I ,  , 397 , 1010
179 , RT , I ,  , 384 , 1075
180 , RT , I ,  , 379 , 1060
181 , RT , I ,  , 393 , 1015
182 , RT , I ,  , 386 , 1100
183 , RT , I ,  , 397 , 1010
184 , RT , I ,  , 382 , 1000
185 , RT , I ,  , 386 , 980
186 , RT , I ,  , 417 , 1240
187 , RT , I ,  , 403 , 1360
188 , CH , A , M , 239 , 183
189 , RT , I ,  , 401 , 1405
190 , RT , A ,  , 377 , 1055
191 , RT , A ,  , 432 , 1670
192 , RT , I ,  , 390 , 1250
193 , RT , I ,  , 381 , 1030
194 , RT , I ,  , 403 , 1040
195 , SS , I , F , 213 , 190
196 , SS , I , M , 172 , 105
197 , RT , I ,  , 390 , 1090
198 , SS , I , F , 204 , 190
199 , RT , A ,  , 386 , 1050
200 , RT , I ,  , 402 , 1110
201 , SS , I , F , 201 , 206
202 , SS , I , F , 202 , 195
203 , RT , A ,  , 374 , 1010
204 , RT , I ,  , 358 , 880
205 , RT , I ,  , 370 , 1060
206 , RT , I ,  , 390 , 920
207 , RT , I ,  , 398 , 1195
208 , RT , I ,  , 360 , 890
209 , RT , I ,  , 355 , 900
210 , RT , A ,  , 375 , 1110
211 , SS , I , F , 200 , 160
212 , SS , I , M , 179 , 105
213 , SS , I , M , 175 , 99
214 , SS , I , F , 203 , 165
215 , SS , I , F , 205 , 100
216 , SS , I , F , 213 , 125
217 , RT , I ,  , 409 , 1100
218 , SS , I , F , 202 , 
219 , SS , I , F , 195 , 155
220 , RT , I ,  , 415 , 1285
221 , CH , A , M , 236 , 390
222 , RT , I ,  , 363 , 920
223 , RT , I ,  , 381 , 1025
224 , RT , A ,  , 350 , 940
225 , RT , I ,  , 398 , 1240
226 , RT , I ,  , 412 , 1160
227 , SS , I , F , 203 , 150
228 , SS , I , F , 201 , 130
229 , RT , I ,  , 411 , 1240
230 , RT , I ,  , 373 , 930
231 , SS , I , M , 178 , 90
232 , RT , I ,  , 415 , 1240
233 , RT , I ,  , 383 , 1030
234 , CH , I , M , 223 , 550
235 , RT , I ,  , 390 , 1250
236 , RT , I ,  , 390 , 999
237 , RT , A ,  , 365 , 1120
238 , RT , A ,  , 345 , 1000
239 , CH , I , F , 273 , 530
240 , RT , I ,  , 400 , 1040
241 , RT , I ,  , 380 , 1150
242 , RT , I ,  , 330 , 1000
243 , RT , I ,  , 410 , 1360
244 , RT , I ,  , 313 , 930
245 , RT , I ,  , 384 , 980
246 , RT , I ,  , 409 , 1260
247 , RT , I ,  , 390 , 900
248 , RT , I ,  , 411 , 1300
249 , CH , I , F , 259 , 470
250 , RT , A ,  , 380 , 1040
251 , RT , I ,  , 370 , 950
252 , RT , I ,  , 415 , 1320
253 , SS , I , F , 215 , 180
254 , RT , I ,  , 410 , 1280
255 , RT , I ,  , 412 , 1310
256 , RT , A ,  , 384 , 910
257 , RT , I ,  , 404 , 1220
258 , RT , I ,  , 375 , 920
259 , RT , I ,  , 410 , 1135
260 , RT , I ,  , 384 , 940
261 , RT , I ,  , 385 , 920
262 , RT , I ,  , 398 , 1280
263 , CH , A ,  ,  , 480
264 , RT , I ,  , 425 , 1220
265 , RT , I ,  , 401 , 1000
266 , RT , I ,  , 387 , 1120
267 , RT , I ,  , 376 , 925
268 , SS , A , M , 171 , 90
269 , RT , A ,  , 420 , 1280
270 , RT , I ,  , 385 , 985
271 , RT , I ,  , 405 , 1350
272 , RT , I ,  , 350 , 730
273 , RT , I ,  , 388 , 890
274 , RT , I ,  , 398 , 1020
275 , RT , A ,  , 410 , 1000
276 , SS , I , F , 202 , 150
277 , SS , I , F , 204 , 180
278 , RT , A ,  , 382 , 1020
279 , RT , I ,  , 111 , 1340
280 , RT , I ,  , 396 , 1300
281 , RT , I ,  , 363 , 1015
282 , RT , I ,  , 360 , 900
283 , RT , I ,  , 390 , 1000
284 , SS , I , M , 195 , 150
285 , RT , A ,  , 390 , 1050
286 , RT , I ,  , 380 , 950
287 , CH , I , M , 225 , 350
288 , CH , A , M , 247 , 375
289 , RT , A ,  , 415 , 1175
290 , RT , I ,  , 354 , 980
291 , RT , A ,  , 417 , 1260
292 , RT , I ,  , 379 , 1050
293 , RT , A ,  , 412 , 1330
294 , RT , A ,  , 377 , 980
295 , RT , I ,  , 372 , 920
296 , RT , I ,  , 420 , 1540
297 , RT , I ,  , 368 , 1060
298 , RT , I ,  , 406 , 1420
299 , CH , I , M , 225 , 400
300 , RT , I ,  , 392 , 1142
301 , SS , I , F , 191 , 157
302 , SS , I , M , 161 , 98
303 , RT , I ,  , 365 , 813
304 , SS , I , M , 156 , 94
305 , SS , I , F , 191 , 155
306 , SS , I , F , 198 , 181
307 , SS , I , M , 160 , 92
308 , SS , I , M , 164 , 98
309 , RT , I ,  , 352 , 1024
310 , CH , I , F , 265 , 464
311 , SS , I , M , 163 , 100
312 , SS , I , F , 193 , 186
313 , SS , I , F , 190 , 164
314 , SS , I , M , 165 , 98
315 , SS , I , M , 162 , 
316 , SS , A , F , 198 , 158
317 , RT , I ,  , 370 , 1023
318 , RT , I ,  , 230 , 340
319 , CH , I , M , 194 , 163
320 , SS , I , F , 157 , 92
321 , SS , I , M , 260 , 550
322 , CH , A , F , 377 , 1119
323 , RT , I ,  , 364 , 917
324 , RT , I ,  , 367 , 946
325 , RT , I ,  , 233 , 337
326 , CH , I , M , 336 , 742
327 , SS , I , F , 259 , 439
328 , CH , I , F , 199 , 187
329 , SS , I , F , 165 , 92
330 , SS , I , M , 370 , 1094
331 , RT , I ,  , 362 , 832
332 , RT , A ,  , 368 , 1244
333 , RT , I ,  , 368 , 1244
334 , RT , I ,  , 367 , 974
335 , RT , I ,  , 400 , 1289
336 , RT , I ,  , 379 , 999
337 , RT , I ,  , 360 , 994
338 , RT , I ,  , 362 , 1004
339 , RT , I ,  , 378 , 1097
340 , SS , I , F , 201 , 185
341 , SS , I , M , 193 , 181
342 , RT , I ,  , 372 , 1092
343 , RT , I ,  , 369 , 1049
344 , RT , I ,  , 354 , 998
345 , RT , I ,  , 367 , 1091
346 , RT , I ,  , 349 , 987
347 , RT , I ,  , 375 , 1151
348 , RT , I ,  , 343 , 971
349 , RT , I ,  , 360 , 1159
350 , RT , I ,  , 395 , 1239
351 , RT , I ,  , 400 , 1216
352 , SS , A , F , 170 , 177
353 , CH , I , F , 268 , 469
354 , RT , I ,  , 369 , 1039
355 , RT , I ,  , 365 , 1079
356 , RT , A ,  , 375 , 1159
357 , SS , I , M , 230 , 162
358 , CH , A , M , 213 , 339
359 , RT , A ,  , 382 , 1403
360 , SS , I , M , 168 , 175
361 , RT , A ,  , 478 , 1473
362 , RT , I ,  , 469 , 1001
363 , SS , I , M , 172 , 98
364 , RT , I ,  , 373 , 914
365 , RT , A ,  , 386 , 1059
366 , RT , I ,  , 384 , 1147
367 , RT , I ,  , 351 , 949
368 , SS , I , M , 168 , 102
369 , RT , I ,  , 363 , 973
370 , SS , I , F , 199 , 196
371 , CH , I , M , 235 , 327
372 , RT , A ,  , 374 , 1064
373 , RT , I ,  , 369 , 749
374 , SS , I , F , 202 , 201
375 , SS , I , F , 202 , 180
376 , RT , I ,  , 374 , 1213
377 , RT , I ,  , 389 , 1200
378 , RT , I ,  , 379 , 1040
379 , SS , I , M , 170 , 113
380 , RT , I ,  , 373 , 919
381 , RT , I ,  , 403 , 1487
382 , RT , I ,  , 400 , 1254
383 , SS , A , F , 205 , 156
384 , RT , I ,  , 405 , 1189
385 , RT , I ,  , 382 , 979
386 , SS , A , M , 165 , 96
387 , RT , I ,  , 407 , 1339
388 , RT , I ,  , 403 , 1199
389 , RT , I ,  , 406 , 1344
390 , RT , I ,  , 381 , 969
391 , RT , I ,  , 395 , 1039
392 , RT , I ,  , 410 , 1054
393 , CH , A , F , 243 , 334
394 , SS , I , M , 170 , 101
395 , SS , A , F , 210 , 181
396 , RT , A ,  , 425 , 1449
397 , RT , I ,  , 402 , 985
398 , RT , A ,  , 480 , 1598
399 , RT , I ,  , 412 , 992
400 , CH , I , F , 260 , 569
401 , RT , A ,  , 381 , 1354
402 , RT , A ,  , 392 , 969
403 , RT , I ,  , 382 , 1080
404 , SS , A , F , 196 , 185
405 , RT , A ,  , 391 , 1097
406 , RT , A ,  , 397 , 1439
407 , RT , I ,  , 361 , 
408 , RT , I ,  , 376 , 1019
409 , RT , A ,  , 410 , 1239
410 , RT , I ,  , 381 , 1399
411 , RT , I ,  , 396 , 1169
412 , RT , I ,  , 383 , 1164
413 , SS , I , F , 203 , 176
414 , RT , I ,  , 271 , 
415 , CH , I , F , 255 , 429
416 , SS , I , F , 196 , 160
417 , SS , I , M , 168 , 105
418 , RT , I ,  , 392 , 890
419 , SS , I , M , 163 , 100
420 , SS , I , F , 205 , 
421 , RT , I ,  , 395 , 1215
422 , SS , I , M , 163 , 100
423 , RT , I ,  , 370 , 1030
424 , CH , A , M , 225 , 340
425 , SS , I , F , 197 , 165
426 , RT , I ,  , 376 , 985
427 , RT , I ,  , 372 , 975
428 , RT , I ,  , 391 , 1165
429 , SS , I ,  , 165 , 95
430 , RT , I ,  , 364 , 1044
431 , SS , A , F , 202 , 180
432 , SS , I , M , 163 , 125
433 , RT , I , M , 381 , 1080
434 , RT , I ,  , 375 , 890
435 , RT , I ,  , 392 , 1105
436 , RT , A ,  , 398 , 1310
437 , RT , I ,  , 371 , 895
438 , RT , A ,  , 367 , 1060
439 , SS , A , F , 193 , 165
440 , RT , A ,  , 375 , 960
441 , RT , I ,  , 408 , 1270
442 , CH , A , F , 252 , 540
443 , CH , A , M , 237 , 365
444 , RT , I ,  , 399 , 1170
445 , CH , A , F , 268 , 590
446 , RT , I ,  , 388 , 1225
447 , SS , A , F , 200 , 175
448 , SS , I , F , 192 , 170
449 , SS , A , M , 167 , 100
450 , RT , I ,  , 370 , 1060
451 , SS , A , M , 162 , 110
452 , RT , I ,  , 363 , 850
453 , RT , I ,  , 371 , 1145
454 , SS , A , F , 199 , 165
455 , RT , I ,  , 386 , 1090
456 , RT , I ,  , 400 , 1345
457 , RT , I ,  , 390 , 1050
458 , SS , A , F , 199 , 200
459 , CH , A , F , 254 , 505
460 , RT , A ,  , 382 , 1040
461 , SS , A , F , 196 , 155
462 , RT , I ,  , 354 , 965
463 , RT , I ,  , 403 , 1105
464 , SS , I , F , 194 , 155
465 , RT , I ,  , 375 , 1045
466 , RT , I ,  , 369 , 900
467 , RT , I ,  , 368 , 1015
468 , RT , A ,  , 393 , 1385
469 , RT , I ,  , 370 , 1165
470 , RT , I ,  , 378 , 905
471 , RT , I ,  , 369 , 985
472 , RT , I ,  , 364 , 800
473 , RT , I ,  , 387 , 995
474 , RT , A ,  , 410 , 1460
475 , SS , I , F , 194 , 165
476 , RT , A ,  , 410 , 1585
477 , SS , A , F , 194 , 185
478 , RT , I ,  , 373 , 920
479 , RT , I ,  , 390 , 1460
480 , RT , A ,  , 404 , 1315
481 , RT , I ,  , 375 , 1019
482 , RT , I ,  , 395 , 1215
483 , RT , I ,  , 379 , 1005
484 , RT , I ,  , 382 , 1350
485 , RT , I ,  , 404 , 1145
486 , SS , A , F , 205 , 175
487 , RT , A ,  , 377 , 1010
488 , SS , I , M , 184 , 155
489 , RT , I ,  , 390 , 1120
490 , RT , A ,  , 404 , 280
491 , RT , I ,  , 351 , 775
492 , RT , I ,  , 394 , 1210
493 , SS , A , M , 175 , 107
494 , RT , A ,  , 372 , 909
495 , SS , I , M , 169 , 95
496 , RT , I ,  , 376 , 1145
497 , RT , I ,  , 399 , 1150
498 , RT , I ,  , 399 , 1560
499 , RT , I ,  , 357 , 940
500 , SS , I , F , 195 , 145
501 , RT , I ,  , 400 , 1089
502 , RT , I ,  , 382 , 1194
503 , SS , I , M , 161 , 95
504 , RT , I ,  , 390 , 1015
505 , RT , I ,  , 379 , 975
506 , RT , I ,  , 376 , 1035
507 , RT , A ,  , 331 , 1055
508 , RT , I ,  , 371 , 945
509 , SS , I , M , 160 , 90
510 , RT , I ,  , 361 , 785
511 , CH , A , F , 268 , 56
512 , RT , I ,  , 394 , 1220
513 , SS , A , F , 191 , 175
514 , RT , A ,  , 358 , 1025
515 , RT , I ,  , 380 , 1000
516 , SS , A , F , 188 , 175
517 , RT , I ,  , 397 , 1210
518 , SS , A , F , 196 , 180
519 , SS , A , F , 190 , 175
520 , SS , I , M , 161 , 90
521 , CH , A , F , 145 , 320
522 , RT , I ,  , 392 , 1185
523 , SS , I , F , 190 , 
524 , CH , I , M , 230 , 350
525 , RT , A ,  , 406 , 
526 , RT , I ,  , 363 , 950
527 , SS , I , M , 162 , 85
528 , RT , I ,  , 374 , 895
529 , RT , I ,  , 412 , 1150
530 , CH , I , F , 272 , 565
531 , RT , I ,  , 388 , 950
532 , RT , I ,  , 371 , 990
533 , CH , I , M , 225 , 325
534 , RT , I ,  , 391 , 1120
535 , SS , I , M , 163 , 90
536 , RT , I , F , 410 , 1120
537 , RT , I ,  , 368 , 820
538 , RT , I , F , 410 , 1200
539 , RT , A , F , 425 , 1120
540 , RT , I ,  , 368 , 1120
541 , RT , I ,  , 392 , 1220
542 , SS , I , M , 250 , 470
543 , RT , I ,  , 418 , 1310
544 , RT , I ,  , 370 , 920
545 , SS , A , M , 170 , 100
546 , SS , A , F , 203 , 180
547 , RT , A ,  , 370 , 955
548 , RT , A ,  , 408 , 1225
549 , RT , A ,  , 393 , 1400
550 , RT , I ,  , 365 , 1025
551 , RT , I ,  , 405 , 1140
552 , RT , I ,  , 381 , 1080
553 , RT , I ,  , 390 , 1135
554 , RT , I ,  , 384 , 1430
555 , RT , I ,  , 390 , 1050
556 , RT , I ,  , 381 , 920
557 , SS , A , F , 194 , 175
558 , RT , I ,  , 371 , 905
559 , RT , I ,  , 356 , 915
560 , RT , I ,  , 377 , 910
561 , RT , I ,  , 362 , 950
562 , SS , A , M , 165 , 105
563 , SS , A , M , 155 , 100
564 , RT , I ,  , 400 , 1225
565 , SS , A , M , 161 , 105
566 , RT , I ,  , 387 , 1090
567 , RT , I ,  , 409 , 1350
568 , SS , A , F , 195 , 200
569 , SS , A , F , 196 , 200
570 , SS , A , M , 169 , 100
571 , RT , I ,  , 385 , 940
572 , RT , I ,  , 377 , 920
573 , RT , I ,  , 400 , 1190
574 , SS , I , M , 164 , 90
575 , SS , A , M , 165 , 95
576 , RT , I ,  , 363 , 915
577 , CH , A , F , 266 , 535
578 , RT , I ,  , 403 , 1310
579 , RT , I ,  , 375 , 950
580 , SS , A , M , 166 , 120
581 , RT , I ,  , 373 , 975
582 , RT , I ,  , 373 , 990
583 , SS , A , M , 170 , 110
584 , RT , A ,  , 373 , 1270
585 , RT , I ,  , 354 , 960
586 , RT , I ,  , 394 , 1290
587 , SS , I , M , 165 , 95
588 , CH , A , F , 261 , 505
589 , RT , I ,  , 377 , 1045
590 , RT , I ,  , 364 , 1090
591 , RT , I ,  , 385 , 1180
592 , RT , I ,  , 390 , 1195
593 , RT , A ,  , 383 , 1055
594 , RT , I ,  , 365 , 1025
595 , SS , I , F , 201 , 175
596 , RT , I ,  , 376 , 940
597 , RT , A ,  , 402 , 1335
598 , RT , I ,  , 394 , 1085
599 , CH , I , M , 223 , 375
600 , RT , A ,  , 378 , 1090
601 , RT , I ,  , 369 , 995
602 , RT , A ,  , 378 , 1090
603 , RT , A ,  , 262 , 1020
604 , SS , I , M , 165 , 100
605 , RT , A ,  , 379 , 1000
606 , RT , I ,  , 380 , 1085
607 , RT , A ,  , 380 , 1045
608 , RT , I ,  , 393 , 1060
609 , RT , A ,  , 389 , 1135
610 , RT , I ,  , 395 , 1210
611 , SS , I , F , 207 , 185
612 , RT , I ,  , 367 , 965
613 , RT , A ,  , 368 , 905
614 , RT , I ,  , 377 , 1125
615 , RT , I ,  , 374 , 950
616 , RT , A ,  , 385 , 1195
617 , RT , I ,  , 363 , 1005
618 , SS , I , M , 164 , 95
619 , SS , A , F , 199 , 175
620 , RT , I ,  , 378 , 995
621 , SS , I , F , 200 , 165
622 , RT , I ,  , 405 , 1170
623 , SS , I , F , 194 , 145
624 , SS , I , F , 190 , 175
625 , SS , I , F , 195 , 170
626 , SS , I , M , 161 , 105
627 , SS , I , M , 168 , 95
628 , SS , I , M , 160 , 95
629 , RT , I ,  , 392 , 1085
630 , SS , I , F , 201 , 165
631 , RT , I ,  , 395 , 1115
632 , RT , I ,  , 390 , 1195
633 , SS , I , M , 161 , 100
634 , CH , A , M , 230 , 365
635 , SS , I , F , 192 , 170
636 , SS , I , M , 156 , 90
637 , SS , I , M , 158 , 95
638 , SS , I , M , 167 , 115
639 , SS , I , F , 199 , 155
640 , CH , I , F , 320 , 229
641 , RT , A ,  , 389 , 1165
642 , CH , I , M , 227 , 155
643 , CH , A , M , 230 , 340
644 , SS , A , F , 199 , 180
645 , RT , I ,  , 378 , 235
646 , SS , I , M , 164 , 105
647 , RT , A ,  , 385 , 1085
648 , RT , I ,  , 369 , 970
649 , RT , I ,  , 378 , 1030
650 , RT , I ,  , 373 , 1015
651 , RT , A ,  , 419 , 1030
652 , RT , I ,  , 414 , 1215
653 , SS , A , F , 203 , 185
654 , SS , A , M , 162 , 95
655 , SS , I , M , 165 , 95
656 , SS , A , M , 161 , 95
657 , SS , I , M , 161 , 110
658 , RT , I ,  , 404 , 1170
659 , SS , I , M , 165 , 105
660 , SS , A , F , 199 , 175
661 , SS , I , M , 171 , 95
662 , SS , A , F , 213 , 190
663 , SS , A , M , 169 , 105
664 , RT , I ,  , 379 , 1435
665 , RT , I ,  , 407 , 1235
666 , RT , I ,  , 376 , 1055
667 , RT , I ,  , 380 , 1105
668 , SS , A , M , 172 , 120
669 , RT , I ,  , 408 , 1390
670 , SS , A , M , 167 , 105
671 , RT , A ,  , 374 , 1080
672 , RT , I ,  , 376 , 910
673 , CH , I , F , 258 , 490
674 , RT , I ,  , 370 , 845
675 , SS , A , F , 202 , 175
676 , RT , I ,  , 363 , 865
677 , SS , A , F , 200 , 180
678 , RT , I ,  , 372 , 2030
679 , RT , A ,  , 378 , 960
680 , CH , A , F , 254 , 515
681 , RT , I ,  , 361 , 970
682 , RT , A ,  , 389 , 1265
683 , RT , A ,  , 404 , 1300
684 , SS , I , F , 195 , 170
685 , SS , I , F , 203 , 191
686 , CH , A , F , 253 , 540
687 , SS , I , F , 199 , 185
688 , SS , I , F , 194 , 165
689 , SS , A , F , 196 , 205
690 , SS , I , M , 168 , 95
691 , RT , A ,  , 395 , 1170
692 , RT , I ,  , 368 , 1075
693 , SS , I , F , 210 , 200
694 , RT , I ,  , 401 , 965
695 , RT , I ,  , 355 , 785
696 , RT , A ,  , 377 , 1095
697 , SS , I , F , 197 , 160
698 , SS , I , M , 171 , 95
699 , RT , A ,  , 277 , 1500
700 , RT , A ,  , 435 , 1595
701 , RT , I ,  , 372 , 985
702 , CH , A , F , 260 , 565
703 , RT , I ,  , 390 , 240
704 , RT , I ,  , 359 , 875
705 , RT , I ,  , 393 , 1225
706 , RT , I ,  , 402 , 1255
707 , RT , I ,  , 362 , 950
708 , CH , I , M , 227 , 330
709 , RT , A ,  , 359 , 895
710 , SS , I , M , 155 , 100
711 , CH , I , F , 261 , 455
712 , SS , I , M , 160 , 90
713 , SS , I , M , 166 , 105
714 , RT , I ,  , 362 , 1305
715 , RT , I ,  , 375 , 975
716 , RT , I ,  , 388 , 1185
717 , RT , I ,  , 392 , 1030
718 , RT , I ,  , 412 , 1215
719 , RT , I ,  , 371 , 1075
720 , CH , A , F , 255 , 960
721 , RT , I ,  , 391 , 795
722 , SS , I , F , 190 , 180
723 , RT , I ,  , 385 , 1225
724 , SS , I , M , 166 , 110
725 , SS , A , F , 197 , 165
726 , RT , I ,  , 370 , 920
727 , SS , I , F , 190 , 170
728 , RT , I ,  , 400 , 1315
729 , SS , I , M , 162 , 100
730 , SS , I , F , 194 , 155
731 , RT , I ,  , 395 , 1155
732 , RT , I ,  , 403 , 1160
733 , RT , I ,  , 386 , 955
734 , SS , A , F , 193 , 190
735 , SS , A , F , 203 , 180
736 , SS , A , M , 159 , 90
737 , SS , I , M , 163 , 100
738 , SS , A , M , 191 , 190
739 , SS , I , M , 166 , 105
740 , RT , I ,  , 361 , 1030
741 , CH , A , F , 260 , 565
742 , CH , A , M , 234 , 380
743 , RT , I ,  , 377 , 1040
744 , RT , I ,  , 361 , 910
745 , RT , I ,  , 375 , 1005
746 , SS , I , F , 193 , 180
747 , SS , I , F , 196 , 175
748 , SS , I , M , 159 , 105
749 , SS , I , F , 192 , 190
750 , RT , I ,  , 401 , 1250
751 , SS , I , F , 198 , 185
752 , RT , I ,  , 407 , 1275
753 , SS , I , M , 162 , 105
754 , CH , A , F , 169 , 640
755 , SS , I , M , 168 , 100
756 , SS , A , M , 168 , 105
757 , CH , A , M , 223 , 390
758 , RT , I ,  , 375 , 1030
759 , RT , A ,  , 406 , 1290
760 , RT , I ,  , 386 , 1020
761 , SS , A , M , 160 , 105
762 , RT , I ,  , 378 , 1055
763 , SS , A , F , 193 , 185
764 , RT , I ,  , 379 , 1010
765 , RT , I ,  , 364 , 1015
766 , RT , A ,  , 350 , 1115
767 , RT , I ,  , 380 , 1320
768 , RT , A ,  , 395 , 1180
769 , RT , I ,  , 372 , 1145
770 , RT , I ,  , 376 , 995
771 , RT , I ,  , 367 , 1045
