number,species,wing,weight
613  ,  RT  ,  368  ,  905
616  ,  RT  ,  385  ,  1195
619  ,  SS  ,  199  ,  175
634  ,  CH  ,  230  ,  365
641  ,  RT  ,  389  ,  1165
643  ,  CH  ,  230  ,  340
644  ,  SS  ,  199  ,  180
647  ,  RT  ,  385  ,  1085
651  ,  RT  ,  419  ,  1030
653  ,  SS  ,  203  ,  185
654  ,  SS  ,  162  ,  95
656  ,  SS  ,  161  ,  95
660  ,  SS  ,  199  ,  175
662  ,  SS  ,  213  ,  190
663  ,  SS  ,  169  ,  105
668  ,  SS  ,  172  ,  120
670  ,  SS  ,  167  ,  105
671  ,  RT  ,  374  ,  1080
675  ,  SS  ,  202  ,  175
677  ,  SS  ,  200  ,  180
679  ,  RT  ,  378  ,  960
680  ,  CH  ,  254  ,  515
682  ,  RT  ,  389  ,  1265
683  ,  RT  ,  404  ,  1300
686  ,  CH  ,  253  ,  540
689  ,  SS  ,  196  ,  205
691  ,  RT  ,  395  ,  1170
696  ,  RT  ,  377  ,  1095
699  ,  RT  ,  277  ,  1500
700  ,  RT  ,  435  ,  1595
702  ,  CH  ,  260  ,  565
709  ,  RT  ,  359  ,  895
720  ,  CH  ,  255  ,  960
725  ,  SS  ,  197  ,  165
734  ,  SS  ,  193  ,  190
735  ,  SS  ,  203  ,  180
736  ,  SS  ,  159  ,  90
738  ,  SS  ,  191  ,  190
741  ,  CH  ,  260  ,  565
742  ,  CH  ,  234  ,  380
754  ,  CH  ,  169  ,  640
756  ,  SS  ,  168  ,  105
757  ,  CH  ,  223  ,  390
759  ,  RT  ,  406  ,  1290
761  ,  SS  ,  160  ,  105
763  ,  SS  ,  193  ,  185
766  ,  RT  ,  350  ,  1115
768  ,  RT  ,  395  ,  1180
777  ,  RT  ,  405  ,  1255
778  ,  RT  ,  371  ,  1015
782  ,  RT  ,  368  ,  1090
793  ,  RT  ,  391  ,  1330
795  ,  RT  ,  397  ,  1100
797  ,  RT  ,  385  ,  1400
800  ,  RT  ,  365  ,  970
811  ,  RT  ,  396  ,  1195
830  ,  CH  ,  230  ,  330
839  ,  CH  ,  252  ,  470
840  ,  SS  ,  192  ,  175
841  ,  SS  ,  195  ,  195
842  ,  CH  ,  233  ,  335
843  ,  RT  ,  364  ,  1150
855  ,  RT  ,  372  ,  1010
857  ,  SS  ,  194  ,  210
870  ,  SS  ,  161  ,  95
871  ,  RT  ,  380  ,  1005
872  ,  RT  ,  411  ,  1220
873  ,  SS  ,  161  ,  95
877  ,  CH  ,  230  ,  360
881  ,  RT  ,  382  ,  1140
882  ,  RT  ,  371  ,  1115
883  ,  RT  ,  370  ,  1145
884  ,  SS  ,  194  ,  185
885  ,  RT  ,  347  ,  990
888  ,  RT  ,  392  ,  1030
892  ,  RT  ,  387  ,  1065
898  ,  RT  ,  370  ,  1000
900  ,  RT  ,  360  ,  1325
901  ,  RT  ,  366  ,  945
902  ,  RT  ,  402  ,  1350
908  ,  RT  ,  199  ,  1290
